0.1,0.000214
0.2,0.000763
0.3,0.001513
0.4,0.002507
0.5,0.003763
0.6,0.005239
0.7,0.006914
0.8,0.008772
0.9,0.010798
1,0.012976
1.1,0.015292
1.2,0.017735
1.3,0.020292
1.4,0.02295
1.5,0.025699
1.6,0.028528
1.7,0.031427
1.8,0.034386
1.9,0.037395
2,0.040447
2.1,0.043531
2.2,0.04664
2.3,0.049767
2.4,0.052903
2.5,0.056041
2.6,0.059174
2.7,0.062296
2.8,0.065401
2.9,0.068482
3,0.071533
3.1,0.074549
3.2,0.077526
3.3,0.080456
3.4,0.083337
3.5,0.086164
3.6,0.088931
3.7,0.091635
3.8,0.094272
3.9,0.096839
4,0.099331
4.1,0.101746
4.2,0.104081
4.3,0.106332
4.4,0.108497
4.5,0.110574
4.6,0.11256
4.7,0.114452
4.8,0.11625
4.9,0.117951
5,0.119553
5.1,0.121056
5.2,0.122457
5.3,0.123755
5.4,0.124951
5.5,0.126042
5.6,0.127028
5.7,0.127909
5.8,0.128683
5.9,0.129351
6,0.129914
6.1,0.130369
6.2,0.130719
6.3,0.130963
6.4,0.131101
6.5,0.131134
6.6,0.131063
6.7,0.130888
6.8,0.130611
6.9,0.130232
7,0.129752
7.1,0.129174
7.2,0.128497
7.3,0.127724
7.4,0.126856
7.5,0.125895
7.6,0.124843
7.7,0.123701
7.8,0.122471
7.9,0.121156
8,0.119758
8.1,0.118278
8.2,0.11672
8.3,0.115086
8.4,0.113378
8.5,0.111599
8.6,0.109751
8.7,0.107838
8.8,0.105862
8.9,0.103827
9,0.101734
9.1,0.099587
9.2,0.09739
9.3,0.095146
9.4,0.092857
9.5,0.090528
9.6,0.088161
9.7,0.085759
9.8,0.083328
9.9,0.080869
10,0.078387
10.1,0.075885
10.2,0.073368
10.3,0.070837
10.4,0.068298
10.5,0.065754
10.6,0.063209
10.7,0.060667
10.8,0.058131
10.9,0.055606
11,0.053095
11.1,0.050602
11.2,0.048131
11.3,0.045686
11.4,0.043271
11.5,0.040889
11.6,0.038545
11.7,0.036242
11.8,0.033984
11.9,0.031774
12,0.029616
12.1,0.027515
12.2,0.025472
12.3,0.023493
12.4,0.021579
12.5,0.019735
12.6,0.017963
12.7,0.016266
12.8,0.014647
12.9,0.01311
13,0.011655
13.1,0.010286
13.2,0.009005
13.3,0.007813
13.4,0.006712
13.5,0.005703
13.6,0.004787
13.7,0.003965
13.8,0.003237
13.9,0.002602
14,0.002058
14.1,0.001602
14.2,0.001228
14.3,0.000929
14.4,0.000694
14.5,0.000513
14.6,0.000376
14.7,0.000273
14.8,0.000196
14.9,0.00014
15,0.000099
15.1,0.000069
15.2,0.000047
15.3,0.000032
15.4,0.000021
15.5,0.000014
